phi std_phi theta std_theta
---
-20.952 177.622 129.527 0.816
118.088 133.488 130.406 0.859
173.543 31.631 131.214 0.838
174.517 1.578 132.117 0.800
172.392 1.617 132.886 0.868
170.071 1.681 133.733 0.837
167.637 1.645 134.581 0.882
165.182 1.751 135.359 0.851
162.491 1.770 136.033 0.905
159.895 1.733 136.746 0.919
156.735 1.769 137.416 0.911
153.661 1.750 137.940 0.897
150.501 1.766 138.445 0.965
147.272 1.667 138.800 0.971
143.898 1.667 139.159 1.029
140.576 1.605 139.382 1.020
136.964 1.668 139.469 1.041
133.596 1.541 139.562 1.104
130.062 1.467 139.376 1.036
126.651 1.437 139.179 1.177
123.358 1.388 138.959 1.154
119.985 1.251 138.490 1.129
116.804 1.260 138.090 1.148
113.699 1.143 137.410 1.130
110.740 1.080 136.881 1.146
107.951 1.031 136.184 1.149
105.219 0.974 135.443 1.094
102.622 0.883 134.717 1.111
100.190 0.866 133.976 1.106
97.935 0.840 133.095 1.119
95.759 0.794 132.215 1.046
93.772 0.762 131.354 1.072
---
-150.087 95.524 130.353 0.779
-9.820 178.541 131.293 0.837
124.157 127.577 132.218 0.785
172.385 36.594 133.082 0.840
174.146 1.640 134.008 0.852
171.732 1.735 134.855 0.895
169.225 1.839 135.782 0.841
166.671 1.710 136.630 0.898
163.980 1.822 137.461 0.885
161.129 1.819 138.180 0.919
157.988 1.824 138.896 0.923
154.929 1.919 139.554 0.954
151.427 1.856 140.072 1.001
148.028 1.866 140.498 0.950
144.498 1.815 140.847 1.021
140.708 1.721 141.108 1.038
137.068 1.713 141.238 1.112
133.506 1.657 141.261 1.126
129.634 1.546 141.134 1.140
126.038 1.519 140.925 1.164
122.567 1.462 140.573 1.189
118.971 1.313 140.135 1.161
115.717 1.274 139.637 1.259
112.474 1.216 139.025 1.173
109.320 1.111 138.347 1.198
106.405 1.063 137.554 1.177
103.617 1.022 136.783 1.154
101.044 0.988 136.012 1.145
98.522 0.928 135.070 1.127
96.193 0.849 134.137 1.140
93.999 0.832 133.350 1.075
92.021 0.768 132.431 1.058
---
-173.986 27.876 131.253 0.817
-140.817 108.592 132.211 0.830
-14.249 178.179 133.214 0.864
134.561 116.389 134.191 0.834
172.350 35.179 135.142 0.860
173.665 1.803 136.162 0.851
171.061 1.796 137.029 0.846
168.507 1.886 138.027 0.825
165.630 1.949 138.872 0.898
162.523 1.927 139.705 0.899
159.431 2.029 140.477 0.931
156.051 2.074 141.165 0.989
152.504 2.010 141.815 1.005
148.824 1.979 142.280 1.010
145.029 1.937 142.691 1.012
141.204 1.969 142.976 1.069
137.352 1.811 143.089 1.119
133.392 1.821 143.048 1.139
129.388 1.744 142.940 1.194
125.472 1.659 142.678 1.181
121.645 1.530 142.363 1.215
117.960 1.427 141.831 1.190
114.470 1.305 141.306 1.267
111.070 1.240 140.608 1.200
107.841 1.160 139.890 1.252
104.734 1.108 139.085 1.237
101.976 1.024 138.151 1.164
99.207 0.953 137.194 1.146
96.687 0.932 136.280 1.165
94.305 0.873 135.262 1.157
92.123 0.824 134.359 1.087
90.041 0.806 133.288 1.049
---
-174.115 1.540 132.040 0.807
-175.352 13.573 133.119 0.836
-146.445 100.508 134.194 0.858
-16.275 177.906 135.220 0.851
129.245 121.977 136.246 0.841
169.705 45.052 137.287 0.907
173.140 1.918 138.366 0.882
170.383 1.973 139.402 0.897
167.398 2.055 140.301 0.919
164.312 2.021 141.277 0.903
161.022 2.249 142.119 0.988
157.480 2.089 142.857 0.997
153.843 2.251 143.629 0.984
149.932 2.179 144.121 1.007
145.902 2.043 144.578 1.084
141.585 2.118 144.829 1.071
137.476 1.973 145.019 1.116
133.109 1.849 145.048 1.145
129.015 1.827 144.908 1.184
124.824 1.737 144.645 1.211
120.803 1.627 144.216 1.226
116.753 1.453 143.652 1.236
113.064 1.366 143.048 1.272
109.547 1.313 142.276 1.281
106.096 1.202 141.389 1.232
102.934 1.085 140.505 1.216
