phi std_phi theta std_theta
---
-30.550 0.500 78.795 0.565
-30.925 0.488 76.868 0.595
-31.312 0.477 74.809 0.614
-31.624 0.471 72.713 0.612
-32.008 0.496 70.446 0.634
-32.292 0.481 68.260 0.646
-32.549 0.484 65.976 0.657
-32.796 0.502 63.674 0.679
-32.951 0.502 61.326 0.671
-33.082 0.492 58.968 0.677
-33.205 0.491 56.489 0.691
-33.206 0.495 54.088 0.706
-33.235 0.489 51.676 0.704
-33.162 0.483 49.259 0.686
-33.069 0.499 46.866 0.682
-32.940 0.494 44.510 0.689
-32.768 0.498 42.132 0.685
-32.530 0.503 39.860 0.660
-32.292 0.507 37.555 0.656
-31.988 0.493 35.290 0.634
-31.646 0.488 33.116 0.619
-31.272 0.477 31.041 0.619
-30.878 0.487 28.969 0.592
-30.473 0.475 26.953 0.573
-30.085 0.483 25.074 0.543
-29.649 0.477 23.215 0.502
-29.203 0.466 21.448 0.501
-28.738 0.471 19.716 0.482
-28.258 0.461 17.996 0.484
-27.752 0.451 16.439 0.438
-27.293 0.456 14.919 0.416
-26.830 0.464 13.487 0.401
---
-28.900 0.494 78.836 0.570
-29.277 0.505 76.866 0.590
-29.655 0.489 74.795 0.608
-29.959 0.509 72.652 0.629
-30.313 0.509 70.480 0.646
-30.598 0.506 68.259 0.653
-30.872 0.504 66.003 0.665
-31.075 0.513 63.636 0.684
-31.236 0.503 61.352 0.694
-31.376 0.493 58.964 0.695
-31.468 0.519 56.557 0.710
-31.509 0.513 54.112 0.680
-31.502 0.515 51.645 0.687
-31.458 0.499 49.288 0.695
-31.386 0.497 46.854 0.695
-31.249 0.499 44.484 0.691
-31.042 0.514 42.091 0.681
-30.823 0.522 39.765 0.651
-30.579 0.502 37.542 0.658
-30.272 0.513 35.328 0.640
-29.976 0.486 33.147 0.624
-29.635 0.508 31.030 0.600
-29.289 0.501 29.011 0.580
-28.848 0.494 26.962 0.550
-28.428 0.491 25.046 0.546
-28.013 0.479 23.204 0.529
-27.562 0.486 21.413 0.508
-27.106 0.466 19.655 0.501
-26.676 0.488 18.034 0.460
-26.229 0.480 16.463 0.466
-25.732 0.473 14.919 0.446
-25.323 0.468 13.441 0.422
---
-27.209 0.523 78.849 0.556
-27.585 0.519 76.827 0.602
-27.928 0.515 74.769 0.594
-28.266 0.512 72.680 0.622
-28.563 0.513 70.486 0.636
-28.822 0.519 68.268 0.680
-29.073 0.528 65.999 0.664
-29.288 0.527 63.706 0.685
-29.462 0.534 61.320 0.706
-29.576 0.526 58.934 0.690
-29.667 0.520 56.546 0.693
-29.709 0.531 54.085 0.711
-29.722 0.531 51.703 0.710
-29.672 0.531 49.305 0.701
-29.575 0.533 46.879 0.700
-29.437 0.526 44.485 0.665
-29.292 0.529 42.145 0.682
-29.077 0.525 39.783 0.674
-28.810 0.518 37.546 0.653
-28.527 0.530 35.319 0.641
-28.222 0.536 33.177 0.622
-27.934 0.509 30.999 0.613
-27.507 0.501 28.959 0.586
-27.137 0.499 26.973 0.572
-26.740 0.480 25.070 0.545
-26.389 0.508 23.249 0.539
-25.938 0.484 21.449 0.503
-25.498 0.512 19.672 0.500
-25.083 0.485 18.024 0.475
-24.592 0.471 16.427 0.460
-24.185 0.471 14.904 0.435
-23.747 0.470 13.434 0.415
---
-25.418 0.527 78.865 0.554
-25.779 0.532 76.864 0.592
-26.157 0.523 74.781 0.605
-26.464 0.537 72.711 0.601
-26.723 0.554 70.506 0.634
-27.009 0.534 68.274 0.655
-27.232 0.539 65.997 0.652
-27.478 0.539 63.671 0.685
-27.615 0.543 61.309 0.675
-27.744 0.548 58.946 0.675
-27.839 0.547 56.551 0.685
-27.857 0.554 54.093 0.718
-27.851 0.546 51.698 0.712
-27.798 0.545 49.277 0.686
-27.714 0.571 46.902 0.688
-27.575 0.548 44.483 0.695
-27.421 0.554 42.152 0.690
-27.211 0.553 39.802 0.663
-26.983 0.548 37.562 0.649
-26.691 0.531 35.344 0.640
-26.427 0.539 33.193 0.627
-26.111 0.530 31.057 0.594
-25.736 0.529 28.955 0.563
-25.375 0.534 26.978 0.558
-25.038 0.500 25.066 0.530
-24.629 0.511 23.202 0.516
-24.222 0.499 21.425 0.498
-23.830 0.512 19.695 0.472
-23.454 0.510 18.050 0.479
-23.017 0.501 16.493 0.437
-22.566 0.490 14.880 0.442
-22.178 0.471 13.434 0.422
---
-23.638 0.531 78.836 0.577
-23.948 0.530 76.849 0.593
-24.291 0.559 74.845 0.598
-24.576 0.559 72.675 0.629
-24.874 0.547 70.512 0.641
-25.102 0.557 68.253 0.648
-25.336 0.552 66.012 0.677
-25.520 0.562 63.666 0.682
-25.688 0.575 61.302 0.686
-25.799 0.553 58.905 0.675
-25.878 0.571 56.535 0.711
-25.912 0.558 54.094 0.704
-25.892 0.577 51.689 0.700
-25.870 0.565 49.264 0.685
-25.775 0.573 46.852 0.691
-25.675 0.566 44.474 0.683
-25.511 0.567 42.112 0.666
-25.317 0.555 39.823 0.673
-25.077 0.547 37.556 0.648
-24.851 0.554 35.341 0.638
-24.580 0.546 33.168 0.618
-24.261 0.555 31.087 0.604
-23.906 0.544 28.936 0.578
-23.589 0.545 27.000 0.576
-23.230 0.532 25.075 0.540
-22.869 0.517 23.207 0.510
-22.486 0.511 21.415 0.508
-22.101 0.521 19.702 0.494
-21.735 0.511 18.016 0.471
-21.347 0.495 16.444 0.453
-20.921 0.500 14.873 0.427
-20.530 0.501 13.411 0.407
---
-21.757 0.550 78.821 0.576
-22.085 0.551 76.843 0.575
-22.397 0.564 74.821 0.601
-22.696 0.575 72.662 0.616
-22.957 0.574 70.495 0.644
-23.160 0.577 68.228 0.645
-23.382 0.576 65.967 0.678
-23.584 0.574 63.679 0.671
-23.686 0.586 61.348 0.685
-23.813 0.575 58.948 0.688
-23.896 0.586 56.542 0.700
-23.963 0.580 54.122 0.692
-23.920 0.575 51.636 0.696
-23.897 0.587 49.229 0.687
-23.795 0.583 46.872 0.684
-23.695 0.560 44.476 0.670
-23.538 0.569 42.132 0.673
-23.336 0.582 39.857 0.653
-23.165 0.573 37.552 0.638
-22.931 0.580 35.327 0.633
-22.678 0.561 33.156 0.623
-22.372 0.554 31.074 0.593
-22.034 0.542 28.991 0.572
-21.778 0.524 27.024 0.559
-21.411 0.536 25.068 0.545
-21.101 0.531 23.258 0.535
-20.708 0.524 21.381 0.502
-20.329 0.528 19.693 0.490
-20.002 0.503 18.030 0.453
-19.596 0.505 16.449 0.446
-19.240 0.496 14.918 0.423
-18.892 0.498 13.418 0.412
---
-19.855 0.574 78.846 0.576
-20.167 0.577 76.833 0.592
-20.428 0.559 74.802 0.592
-20.712 0.586 72.690 0.632
-20.970 0.578 70.511 0.635
-21.158 0.573 68.261 0.650
-21.371 0.591 65.971 0.660
-21.548 0.594 63.665 0.665
-21.641 0.595 61.341 0.679
-21.784 0.588 58.955 0.679
-21.836 0.602 56.531 0.690
-21.857 0.602 54.106 0.700
-21.884 0.603 51.726 0.704
-21.823 0.590 49.295 0.716
-21.745 0.606 46.882 0.683
-21.655 0.591 44.460 0.680
-21.506 0.606 42.146 0.666
-21.353 0.591 39.813 0.665
-21.148 0.595 37.571 0.652
-20.944 0.573 35.333 0.644
-20.685 0.580 33.156 0.614
-20.409 0.585 31.051 0.588
-20.152 0.561 28.983 0.600
-19.839 0.565 26.988 0.563
-19.505 0.559 25.075 0.541
-19.210 0.547 23.222 0.534
-18.893 0.551 21.396 0.503
-18.570 0.525 19.684 0.495
-18.240 0.526 18.080 0.470
-17.882 0.531 16.437 0.448
-17.535 0.496 14.949 0.426
-17.191 0.510 13.410 0.406
---
-17.896 0.567 78.837 0.568
-18.201 0.568 76.853 0.578
-18.454 0.595 74.763 0.591
-18.672 0.597 72.656 0.622
-18.880 0.610 70.529 0.633
-19.106 0.602 68.243 0.649
-19.281 0.622 66.030 0.655
-19.466 0.606 63.675 0.668
-19.584 0.623 61.313 0.678
-19.658 0.629 58.935 0.688
-19.715 0.613 56.499 0.699
-19.742 0.621 54.107 0.702
-19.752 0.621 51.694 0.709
-19.740 0.616 49.265 0.684
-19.680 0.622 46.860 0.690
-19.569 0.612 44.508 0.699
-19.442 0.603 42.122 0.674
-19.284 0.608 39.828 0.673
-19.106 0.617 37.539 0.653
-18.857 0.593 35.308 0.647
-18.682 0.582 33.161 0.608
-18.424 0.582 31.036 0.591
-18.143 0.577 28.962 0.567
-17.894 0.592 27.005 0.566
-17.605 0.571 25.055 0.539
-17.352 0.566 23.222 0.529
-17.005 0.555 21.397 0.502
-16.734 0.537 19.687 0.486
-16.462 0.532 18.040 0.474
-16.098 0.531 16.474 0.460
-15.799 0.508 14.879 0.440
-15.486 0.508 13.449 0.421
---
-15.930 0.582 78.865 0.559
-16.146 0.600 76.896 0.580
-16.391 0.596 74.825 0.614
-16.633 0.596 72.660 0.606
-16.840 0.622 70.475 0.634
-17.020 0.627 68.279 0.652
-17.124 0.627 65.986 0.674
-17.283 0.635 63.668 0.674
-17.428 0.629 61.312 0.692
-17.478 0.647 58.942 0.685
-17.556 0.634 56.504 0.718
-17.594 0.631 54.098 0.699
-17.588 0.639 51.682 0.695
-17.582 0.635 49.237 0.694
-17.524 0.641 46.890 0.697
-17.372 0.641 44.485 0.681
-17.286 0.640 42.151 0.680
-17.166 0.620 39.821 0.670
-16.983 0.636 37.505 0.662
-16.798 0.610 35.329 0.620
-16.579 0.610 33.167 0.628
-16.386 0.606 31.034 0.601
-16.182 0.592 28.990 0.591
-15.889 0.588 26.994 0.559
-15.619 0.562 25.070 0.571
-15.427 0.563 23.232 0.529
-15.124 0.556 21.425 0.506
-14.817 0.558 19.722 0.492
-14.537 0.538 18.031 0.472
-14.306 0.528 16.442 0.456
-13.990 0.510 14.906 0.433
-13.757 0.517 13.459 0.409
---
-13.866 0.602 78.862 0.575
-14.103 0.615 76.848 0.604
-14.296 0.623 74.814 0.601
-14.501 0.612 72.669 0.613
-14.689 0.617 70.500 0.637
-14.854 0.616 68.265 0.647
-14.972 0.631 65.979 0.664
-15.116 0.647 63.677 0.672
-15.217 0.651 61.298 0.700
-15.280 0.667 58.918 0.692
-15.303 0.656 56.565 0.686
-15.359 0.662 54.142 0.698
-15.350 0.649 51.705 0.696
-15.327 0.646 49.244 0.708
-15.283 0.652 46.838 0.684
-15.200 0.665 44.498 0.683
-15.088 0.640 42.104 0.688
-15.008 0.625 39.833 0.663
-14.840 0.629 37.530 0.644
-14.622 0.620 35.299 0.634
-14.504 0.627 33.177 0.635
-14.259 0.617 31.023 0.601
-14.051 0.624 28.958 0.596
-13.887 0.592 26.970 0.566
-13.665 0.579 25.067 0.555
-13.429 0.575 23.219 0.531
-13.159 0.570 21.416 0.510
-12.925 0.560 19.715 0.482
-12.703 0.560 18.048 0.476
-12.461 0.534 16.441 0.435
-12.205 0.533 14.951 0.429
-11.962 0.517 13.424 0.421
---
-11.806 0.593 78.835 0.563
-12.003 0.608 76.889 0.577
-12.142 0.639 74.789 0.593
-12.366 0.623 72.665 0.612
-12.499 0.639 70.491 0.636
-12.660 0.649 68.255 0.647
-12.760 0.667 66.016 0.671
-12.816 0.647 63.675 0.689
-12.957 0.667 61.299 0.695
-13.045 0.667 58.930 0.701
-13.075 0.664 56.545 0.694
-13.091 0.656 54.133 0.703
-13.088 0.666 51.713 0.704
-13.054 0.663 49.272 0.689
-12.998 0.680 46.889 0.714
-12.939 0.660 44.480 0.674
-12.875 0.640 42.139 0.660
-12.768 0.647 39.820 0.640
-12.658 0.645 37.542 0.649
-12.475 0.645 35.312 0.642
-12.316 0.614 33.144 0.631
-12.206 0.634 31.054 0.618
-11.992 0.608 28.973 0.588
-11.796 0.600 27.008 0.582
-11.614 0.607 25.086 0.542
-11.406 0.576 23.195 0.527
-11.217 0.579 21.393 0.519
-10.990 0.564 19.647 0.490
-10.833 0.556 18.037 0.466
-10.596 0.537 16.453 0.451
-10.360 0.522 14.908 0.433
-10.130 0.525 13.432 0.416
---
-9.700 0.619 78.861 0.578
-9.877 0.614 76.828 0.595
-10.007 0.633 74.784 0.628
-10.128 0.631 72.667 0.624
-10.306 0.642 70.473 0.630
-10.362 0.652 68.307 0.648
-10.501 0.680 65.989 0.668
-10.583 0.649 63.667 0.687
-10.658 0.658 61.312 0.687
-10.697 0.660 58.940 0.698
-10.760 0.678 56.535 0.691
-10.754 0.671 54.117 0.692
-10.784 0.673 51.710 0.687
-10.742 0.673 49.292 0.688
-10.699 0.660 46.879 0.680
-10.634 0.666 44.497 0.687
-10.554 0.667 42.118 0.673
-10.495 0.666 39.827 0.660
-10.408 0.646 37.540 0.655
-10.283 0.655 35.322 0.653
-10.181 0.652 33.156 0.607
-10.006 0.630 31.022 0.601
-9.858 0.624 28.989 0.590
-9.701 0.616 27.020 0.573
-9.538 0.606 25.083 0.531
-9.360 0.603 23.216 0.523
-9.228 0.567 21.429 0.508
-9.020 0.571 19.714 0.494
-8.841 0.554 18.043 0.486
-8.679 0.554 16.456 0.451
-8.521 0.552 14.941 0.449
-8.381 0.522 13.429 0.415
---
-7.555 0.622 78.828 0.568
-7.689 0.629 76.859 0.585
-7.838 0.637 74.781 0.600
-7.940 0.644 72.668 0.621
-8.010 0.649 70.507 0.639
-8.119 0.665 68.277 0.660
-8.224 0.665 65.992 0.665
-8.276 0.663 63.673 0.684
-8.319 0.677 61.316 0.682
-8.341 0.678 58.952 0.682
-8.428 0.667 56.518 0.696
-8.396 0.672 54.138 0.695
-8.416 0.678 51.737 0.691
-8.374 0.690 49.253 0.708
-8.355 0.687 46.856 0.691
-8.334 0.679 44.501 0.689
-8.269 0.678 42.164 0.694
-8.202 0.662 39.807 0.656
-8.116 0.652 37.554 0.652
-8.024 0.644 35.332 0.639
-7.940 0.640 33.160 0.620
-7.794 0.640 31.022 0.621
-7.685 0.634 28.991 0.594
-7.566 0.625 27.019 0.554
-7.424 0.600 25.039 0.545
-7.372 0.612 23.255 0.523
-7.200 0.582 21.401 0.505
-7.082 0.571 19.713 0.481
-6.908 0.566 18.042 0.478
-6.747 0.551 16.450 0.445
-6.634 0.537 14.899 0.447
-6.482 0.521 13.420 0.419
---
-5.435 0.634 78.817 0.576
-5.492 0.626 76.824 0.574
-5.584 0.645 74.796 0.610
-5.711 0.638 72.649 0.625
-5.727 0.666 70.488 0.640
-5.849 0.669 68.273 0.649
-5.881 0.678 65.978 0.660
-5.891 0.692 63.641 0.685
-5.934 0.676 61.330 0.686
-6.008 0.684 58.918 0.684
-6.031 0.699 56.529 0.696
-6.025 0.681 54.131 0.713
-6.041 0.682 51.685 0.692
-6.011 0.689 49.247 0.695
-6.003 0.709 46.868 0.697
-5.976 0.699 44.496 0.688
-5.898 0.689 42.126 0.674
-5.907 0.673 39.823 0.663
-5.827 0.658 37.565 0.659
-5.756 0.657 35.322 0.639
-5.702 0.631 33.158 0.624
-5.606 0.635 31.054 0.612
-5.512 0.641 28.957 0.581
-5.422 0.628 26.985 0.574
-5.366 0.623 25.065 0.538
-5.246 0.586 23.203 0.528
-5.136 0.579 21.445 0.495
-5.026 0.564 19.715 0.491
-4.959 0.567 18.044 0.462
-4.856 0.566 16.469 0.445
-4.722 0.554 14.908 0.436
-4.657 0.545 13.428 0.421
---
-3.267 0.639 78.859 0.585
-3.323 0.645 76.829 0.583
-3.358 0.652 74.804 0.609
-3.416 0.658 72.691 0.620
-3.458 0.660 70.498 0.651
-3.528 0.666 68.304 0.650
-3.539 0.670 65.986 0.659
-3.590 0.681 63.686 0.675
-3.616 0.696 61.319 0.685
-3.585 0.701 58.925 0.687
-3.633 0.696 56.521 0.708
-3.624 0.689 54.137 0.696
-3.629 0.702 51.698 0.712
-3.634 0.687 49.311 0.703
-3.592 0.701 46.864 0.681
-3.605 0.691 44.467 0.682
-3.562 0.691 42.127 0.689
-3.517 0.693 39.810 0.658
-3.505 0.666 37.557 0.656
-3.458 0.650 35.347 0.638
-3.393 0.653 33.142 0.635
-3.341 0.655 31.029 0.594
-3.303 0.642 28.971 0.574
