Detector	Strip	Offset	Gain
5	1	312.32	1.24243
5	2	274.896	1.28152
5	3	273.994	1.27864
5	4	278.296	1.20058
5	5	253.584	1.35136
5	6	239.105	1.3578
5	7	175.889	1.20985
5	8	232.021	1.23973
5	9	238.438	1.33554
5	10	230.884	1.30797
5	11	230.37	1.2873
5	12	215.427	1.2701
5	13	230.064	1.30498
5	14	225.221	1.2873
5	15	219.164	1.32314
5	16	216.264	1.33242
5	17	161.459	1.29497
5	18	217.878	1.33867
5	19	221.699	1.25611
5	20	225.221	1.2873
5	21	225.275	1.32622
5	22	231.18	1.29021
5	23	236.116	1.30797
5	24	239.014	1.28152
5	25	242.477	1.27578
5	26	234.702	1.2844
5	27	241.027	1.34499
5	28	255.324	1.32008
5	29	254.57	1.41507
5	30	261.383	1.30498
5	31	259.612	1.29903
5	32	265.189	1.2506
6	1	246.494	1.32622
6	2	234.536	1.36104
6	3	236.732	1.32931
6	4	230.154	1.40809
6	5	223.226	1.38081
6	6	219.383	1.38753
6	7	222.379	1.37748
6	8	212.18	1.38081
6	9	213.832	1.38753
6	10	209.36	1.32622
6	11	214.665	1.39091
6	12	214.391	1.36757
6	13	208.579	1.32314
6	14	204.247	1.37085
6	15	207.467	1.38416
6	16	189.003	1.42569
6	17	200.307	1.35457
6	18	211.511	1.314
6	19	212.18	1.38081
6	20	219.862	1.36757
6	21	227.626	1.29608
6	22	214.1	1.41157
6	23	216.869	1.37748
6	24	204.247	1.37085
6	25	217.878	1.33867
6	26	230.064	1.30498
6	27	220.697	1.37085
6	28	219.507	1.34499
6	29	233.367	1.31703
6	30	233.674	1.3578
6	31	236.92	1.39091
6	32	249.122	1.33554
