phi std_phi theta std_theta
---
-139.008 110.964 46.334 0.852
17.870 177.759 45.324 0.801
144.506 102.981 44.210 0.878
172.740 30.381 43.166 0.868
172.667 1.836 42.241 0.901
170.059 1.945 41.207 0.858
167.323 2.060 40.284 0.914
164.175 2.064 39.350 0.904
160.915 2.066 38.561 0.912
157.424 2.054 37.833 0.976
153.822 2.151 37.154 0.992
150.086 2.104 36.586 1.038
146.155 2.046 36.177 1.037
142.074 1.994 35.856 1.083
138.093 1.946 35.630 1.123
133.843 1.961 35.650 1.179
129.695 1.825 35.693 1.221
125.605 1.653 35.974 1.193
121.655 1.530 36.396 1.231
117.715 1.477 36.856 1.269
114.117 1.331 37.489 1.214
110.590 1.313 38.093 1.237
107.224 1.164 38.988 1.230
104.005 1.109 39.871 1.270
101.033 1.025 40.808 1.216
98.295 0.983 41.696 1.190
95.741 0.925 42.713 1.204
93.338 0.894 43.783 1.175
91.138 0.879 44.787 1.184
88.974 0.858 45.887 1.154
87.014 0.815 46.870 1.093
85.197 0.766 47.943 1.072
---
-168.905 49.575 45.346 0.866
-138.940 110.925 44.213 0.864
14.320 178.000 43.134 0.856
143.364 104.254 41.991 0.889
173.274 23.651 40.844 0.913
172.252 2.099 39.816 0.881
169.278 2.097 38.763 0.892
165.981 2.159 37.825 0.950
162.639 2.269 36.875 0.937
159.069 2.213 36.065 0.974
155.190 2.231 35.300 1.004
151.335 2.222 34.642 1.004
146.961 2.224 34.138 1.070
142.612 2.215 33.854 1.110
138.162 2.035 33.636 1.113
133.700 2.006 33.593 1.150
129.219 1.916 33.703 1.211
124.913 1.785 34.071 1.215
120.641 1.659 34.419 1.225
116.477 1.524 34.943 1.272
112.655 1.455 35.608 1.268
108.842 1.325 36.446 1.306
105.346 1.188 37.449 1.275
102.070 1.200 38.269 1.290
99.030 1.083 39.329 1.214
96.245 1.038 40.416 1.259
93.591 1.015 41.532 1.242
91.170 0.933 42.560 1.182
88.884 0.889 43.774 1.128
86.823 0.858 44.839 1.141
84.920 0.862 45.940 1.125
83.145 0.791 47.130 1.092
---
-173.737 1.662 44.419 0.898
-172.414 34.050 43.218 0.867
-128.183 122.948 41.975 0.898
21.607 177.123 40.759 0.867
141.016 107.120 39.636 0.882
171.976 28.948 38.453 0.891
171.009 10.766 37.310 0.933
168.098 2.335 36.220 0.895
164.641 2.390 35.259 0.939
160.781 2.383 34.261 0.977
156.868 2.441 33.399 0.996
152.554 2.466 32.771 1.036
148.032 2.443 32.174 1.080
143.324 2.465 31.775 1.080
138.517 2.310 31.531 1.186
133.711 2.203 31.532 1.183
128.755 2.017 31.651 1.229
124.058 1.909 31.939 1.290
119.513 1.790 32.405 1.262
115.160 1.686 33.015 1.319
110.897 1.512 33.847 1.329
107.041 1.422 34.676 1.327
103.360 1.276 35.751 1.345
99.932 1.202 36.751 1.365
96.819 1.155 37.811 1.224
93.905 1.049 39.072 1.284
91.238 1.038 40.273 1.248
88.861 0.962 41.485 1.203
86.601 0.959 42.596 1.229
84.536 0.907 43.880 1.165
82.623 0.853 45.031 1.128
80.937 0.855 46.209 1.103
---
-171.272 1.746 43.469 0.886
-173.264 1.857 42.184 0.910
-171.708 35.270 40.900 0.847
-131.766 118.835 39.553 0.888
19.043 177.176 38.319 0.864
143.899 102.638 37.001 0.916
171.735 26.072 35.809 0.949
170.457 2.498 34.583 0.904
166.962 2.450 33.448 0.949
162.921 2.635 32.361 0.975
158.589 2.669 31.475 0.976
154.044 2.705 30.689 1.006
149.206 2.648 29.978 1.041
144.107 2.644 29.584 1.114
138.946 2.499 29.258 1.177
133.600 2.529 29.314 1.216
128.316 2.223 29.395 1.272
123.160 2.096 29.813 1.281
118.114 1.898 30.355 1.366
113.364 1.761 31.038 1.335
108.915 1.516 31.918 1.322
104.785 1.496 32.995 1.384
101.032 1.357 33.956 1.358
97.445 1.222 35.247 1.296
94.300 1.159 36.401 1.307
91.386 1.140 37.691 1.324
88.759 1.062 38.990 1.264
86.286 1.020 40.285 1.237
84.126 0.977 41.589 1.194
82.052 0.941 42.875 1.175
80.253 0.924 44.187 1.190
78.525 0.878 45.393 1.111
---
-168.821 1.868 42.556 0.896
-170.652 2.001 41.179 0.887
-172.728 2.057 39.793 0.925
-169.351 43.721 38.393 0.886
-130.742 119.591 36.966 0.912
15.815 177.352 35.610 0.913
145.126 100.446 34.262 0.929
171.404 24.606 32.933 0.899
169.519 2.739 31.649 0.946
165.227 2.756 30.508 0.944
160.747 2.914 29.445 1.013
155.713 2.867 28.549 1.009
150.493 2.936 27.835 1.115
