phi std_phi theta std_theta
---
-89.908 36.867 120.217 12.320
-91.964 38.932 120.275 13.406
-91.303 44.749 120.911 14.040
-94.810 43.691 121.659 12.890
-97.037 45.068 120.978 14.461
-100.231 41.010 122.050 13.313
-101.112 44.479 122.213 14.795
-103.650 44.876 122.784 13.062
-103.395 48.103 122.790 13.606
-109.484 44.737 123.231 11.882
-109.492 47.118 123.201 13.557
-112.518 48.888 122.664 14.350
-114.290 49.473 123.616 12.167
-115.764 51.882 122.634 14.900
-117.131 53.997 123.335 13.579
-118.216 58.567 122.821 13.375
-119.719 59.270 122.837 14.380
-124.418 56.385 123.042 13.086
-127.314 57.617 122.351 12.939
-124.934 64.760 121.416 15.860
-126.730 66.606 121.348 13.777
-129.216 65.662 121.752 13.304
-127.770 73.551 120.648 14.382
-131.679 72.735 121.408 12.279
-127.959 79.863 120.144 13.954
-125.817 85.891 120.246 13.924
-126.881 89.750 119.275 13.822
-125.802 92.155 118.581 14.437
-125.419 95.492 118.904 13.039
-126.933 95.541 117.422 15.172
-126.564 99.070 117.097 14.854
-117.945 111.916 115.892 14.898
---
-89.642 37.542 118.182 12.401
-91.974 37.677 118.410 13.511
-95.512 37.060 118.258 15.263
-96.079 41.201 119.372 13.464
-96.994 41.436 119.731 15.152
-97.575 44.144 120.005 14.069
-101.656 43.441 120.199 12.444
-104.056 43.302 120.150 13.937
-103.338 49.812 120.754 13.648
-105.903 49.203 120.836 14.714
-109.729 47.053 121.034 13.813
-113.892 43.718 121.053 13.419
-113.436 51.626 121.750 12.327
-114.541 54.220 121.572 13.110
-115.779 56.746 121.497 13.943
-118.005 57.660 120.680 14.626
-119.050 60.465 120.681 13.744
-122.198 60.452 121.120 12.332
-123.718 61.585 119.736 14.458
-127.959 58.095 120.621 12.472
-126.861 65.963 119.254 14.280
-125.920 71.701 119.488 14.203
-123.109 79.594 118.969 13.860
-122.008 85.369 118.811 14.227
-125.071 82.805 118.535 14.128
-130.316 79.647 117.604 14.511
-123.533 92.094 117.293 15.446
-126.979 92.894 116.701 14.544
-123.070 95.915 116.701 14.924
-119.528 104.970 116.095 15.044
-118.411 108.147 115.905 15.424
-123.806 106.400 114.568 14.859
---
-91.432 33.305 116.405 13.232
-89.400 42.869 116.971 14.001
-91.502 43.091 117.559 13.970
-96.250 38.171 117.326 13.825
-95.185 45.764 117.835 14.471
-97.793 45.161 117.277 15.134
-100.237 47.303 118.449 13.136
-105.511 39.334 118.741 12.006
-107.945 39.368 119.303 12.836
-106.120 48.788 119.335 13.580
-109.883 46.907 119.064 13.616
-109.973 56.289 118.990 13.591
-112.944 52.905 118.926 14.231
-116.620 51.869 119.350 14.254
-120.055 47.334 119.191 13.074
-119.069 56.874 118.939 14.045
-121.225 56.267 119.843 11.917
-121.999 60.306 118.678 14.195
-122.590 64.101 118.746 13.856
-125.519 62.286 117.933 13.867
-122.928 71.078 118.229 13.976
-124.783 72.883 117.564 14.260
-125.110 76.928 117.388 14.652
-124.050 82.602 116.763 14.716
-119.670 90.589 116.698 15.093
-127.078 83.848 116.956 15.018
-128.395 85.572 115.756 15.193
-128.297 88.005 115.291 14.522
-116.914 104.363 115.392 15.603
-120.321 104.287 114.665 13.973
-109.192 117.496 114.197 16.217
-117.831 111.090 113.095 16.376
---
-90.109 36.069 114.431 12.239
-92.327 38.435 114.453 14.872
-93.241 40.294 115.268 13.484
-96.663 37.225 116.151 13.185
-95.500 45.263 116.166 14.084
-98.928 43.526 116.490 13.675
-100.436 44.208 117.254 13.660
-103.082 45.797 116.771 13.488
-104.986 45.158 117.343 13.239
-108.573 46.689 117.344 11.598
-108.964 50.804 117.139 13.889
-109.716 52.046 116.759 14.994
-113.687 51.155 117.254 13.724
-115.456 50.537 116.961 13.843
-115.451 58.517 117.488 13.581
-117.679 58.203 116.626 14.843
-122.387 52.770 116.823 14.355
-122.927 59.098 117.227 13.038
-124.232 61.386 117.431 12.718
-125.575 62.938 116.337 14.370
-126.271 65.849 116.021 14.823
-126.304 71.188 116.342 14.080
-124.155 74.807 114.924 15.932
-127.822 76.368 115.162 14.560
-126.028 83.507 114.922 14.425
-118.581 93.896 114.448 15.080
-126.535 88.764 113.554 15.786
-127.829 89.104 113.319 15.653
-124.639 95.919 113.812 14.604
-125.986 96.522 113.111 14.928
-112.962 113.350 111.406 16.993
-112.949 116.772 112.098 14.963
---
-92.334 31.407 113.177 11.979
-88.545 42.305 113.528 14.167
-90.848 45.921 113.517 14.753
-95.755 39.859 114.035 13.604
-96.693 42.269 114.560 13.266
-99.334 42.318 114.384 14.467
-103.156 39.648 114.847 13.447
-102.453 46.423 114.704 15.118
-105.957 43.622 115.124 12.221
-108.131 45.293 115.647 12.696
-109.304 49.189 114.953 14.756
-110.619 50.382 116.051 12.496
-113.141 53.627 115.428 12.807
-117.887 48.715 115.854 12.583
-119.751 48.567 115.563 12.606
-116.978 58.367 115.085 13.929
-121.812 55.541 114.795 14.321
-124.451 57.325 115.125 13.280
-123.513 63.855 114.430 13.548
-124.772 64.497 114.933 14.351
-126.381 68.115 114.045 13.361
-124.219 74.550 114.114 13.842
-126.694 73.175 113.879 13.840
-126.074 78.263 113.954 13.754
-125.302 81.239 112.902 14.674
-124.730 86.850 113.001 14.344
-127.905 84.350 113.538 13.929
-120.211 98.986 112.033 14.592
-119.616 102.449 111.396 15.807
-121.922 101.301 111.031 16.633
-124.350 100.866 111.375 14.754
-112.293 117.852 110.439 15.402
---
-89.622 37.081 110.991 13.551
-90.979 39.541 111.846 12.773
-92.225 42.975 111.668 13.310
-97.633 36.071 112.382 12.245
-95.367 46.194 112.369 14.366
-96.120 49.869 112.576 15.043
-101.321 44.257 112.959 13.577
-103.494 44.113 113.316 12.791
-103.336 50.455 112.702 15.825
-105.757 50.733 112.192 14.540
-109.863 48.840 113.304 13.885
-111.927 47.168 112.989 13.986
-112.320 53.155 113.264 13.651
-115.197 50.382 114.378 13.010
-120.622 47.614 113.616 12.828
-119.945 54.694 113.499 13.107
-121.542 56.335 112.696 14.076
-121.141 62.898 112.541 13.952
-123.595 61.755 112.638 13.188
-124.121 67.018 112.823 13.456
-128.211 63.736 112.344 13.600
-124.400 72.739 111.359 15.482
-125.617 76.863 111.830 14.177
-126.253 78.070 111.549 14.369
-129.293 77.504 111.656 14.296
-125.393 84.516 111.086 14.105
-133.086 78.286 111.283 13.311
-124.404 93.165 109.656 15.009
-121.357 98.668 110.468 14.350
-123.649 97.514 110.463 15.857
-116.605 109.753 108.591 16.927
-113.336 115.166 108.664 15.885
---
-90.061 35.292 109.206 13.380
-93.130 37.239 110.005 12.199
-92.132 42.371 109.304 14.338
-96.160 39.227 110.278 13.024
-96.115 44.792 110.524 13.241
