Detector	Strip	Offset	Gain
1	1	194.33	1.31009
1	2	200.559	1.2889
1	3	184.214	1.24646
1	4	193.089	1.28283
1	5	163.055	1.30137
1	6	150.806	1.29945
1	7	179.07	1.27475
1	8	179.967	1.26783
1	9	166.483	1.27614
1	10	169.458	1.3121
1	11	184.967	1.26014
1	12	166.932	1.29419
1	13	167.39	1.25898
1	14	183.468	1.33761
1	15	167.942	1.29993
1	16	173.36	1.3272
1	17	157.555	1.29514
1	18	177.051	1.3186
1	19	171.716	1.27155
1	20	154.892	1.29025
1	21	172.385	1.30096
1	22	176.29	1.3328
1	23	190.288	1.33624
1	24	171.343	1.2703
1	25	210.006	1.28146
1	26	154.02	1.33
1	27	200.019	1.23327
1	28	208.804	1.28354
1	29	241.172	1.28535
1	30	216.936	1.28388
1	31	0	1
1	32	192.716	1.30372
2	1	216.038	1.23972
2	2	216.886	1.34046
2	3	203.396	1.29319
2	4	209.225	1.31947
2	5	183.676	1.3088
2	6	181.493	1.34238
2	7	200.834	1.26863
2	8	174.623	1.30244
2	9	194.027	1.29991
2	10	220.658	1.26821
2	11	169.855	1.34138
2	12	171.756	1.2103
2	13	166.731	1.40639
2	14	184.472	1.28794
2	15	186.31	1.32627
2	16	171.963	1.2499
2	17	190.118	1.35486
2	18	168.709	1.36896
2	19	170.303	1.39514
2	20	164.662	1.35335
2	21	181.116	1.30902
2	22	176.346	1.29186
2	23	188.094	1.36876
2	24	190.01	1.3124
2	25	190.364	1.27708
2	26	192.984	1.25708
2	27	204.826	1.31196
2	28	197.059	1.30312
2	29	196.537	1.22228
2	30	188.553	1.27386
2	31	194.832	1.33572
2	32	0	1
3	1	237.53	1.54405
3	2	243.414	1.61005
3	3	201.502	1.55365
3	4	219.631	1.57805
3	5	179.924	1.66047
3	6	224.733	1.61647
3	7	185.228	1.61356
3	8	217.282	1.55501
3	9	207.634	1.5914
3	10	227.847	1.67423
3	11	186.813	1.64608
3	12	196.022	1.58
3	13	223.452	1.56882
3	14	245.547	1.5499
3	15	227.418	1.58017
3	16	208.255	1.52559
3	17	220.953	1.61235
3	18	236.139	1.6151
3	19	221.077	1.64567
3	20	243.248	1.61278
3	21	205.069	1.58592
3	22	257.283	1.58099
3	23	217.273	1.6222
3	24	160.668	1.63786
3	25	202.049	1.54306
3	26	193.249	1.63987
3	27	182.595	1.70184
3	28	161.766	1.63209
3	29	232.673	1.62336
3	30	221.439	1.58189
3	31	234.703	1.54856
3	32	236.598	1.57811
4	1	234.009	1.6347
4	2	225.55	1.6197
4	3	204.06	1.61746
4	4	216.899	1.62047
4	5	222.489	1.62826
4	6	225.094	1.62315
4	7	188.44	1.58836
4	8	200.016	1.55574
4	9	201.593	1.56724
4	10	203.24	1.57462
4	11	191.209	1.58307
4	12	175.768	1.51694
4	13	188.333	1.60549
4	14	202.634	1.52086
4	15	197.259	1.59373
4	16	192.675	1.56127
4	17	194.297	1.57612
4	18	0	1
4	19	222.208	1.57206
4	20	208.358	1.54807
4	21	226.309	1.60603
4	22	231.234	1.56357
4	23	203.683	1.57141
4	24	207.333	1.57249
4	25	241.809	1.61604
4	26	198.38	1.5903
4	27	189.427	1.60947
4	28	0	1
4	29	242.619	1.57721
4	30	179.829	1.65205
4	31	195.894	1.62355
4	32	240.201	1.63765
5	1	191.665	1.31239
5	2	212.632	1.32156
5	3	214.641	1.22616
5	4	203.281	1.28198
5	5	225.212	1.26616
5	6	186.154	1.30464
5	7	175.889	1.20985
5	8	186.441	1.27114
5	9	163.64	1.24856
5	10	169.328	1.32726
5	11	173.862	1.29905
5	12	179.118	1.29188
5	13	179.153	1.34312
5	14	176.026	1.3226
5	15	170.373	1.28621
5	16	199.489	1.24632
5	17	161.459	1.29497
5	18	176.114	1.37854
5	19	171.897	1.29167
5	20	128.516	1.33773
5	21	179.483	1.31321
5	22	160.577	1.30248
5	23	155.407	1.35166
5	24	178.252	1.33475
5	25	175.791	1.31494
5	26	175.786	1.31194
5	27	191.418	1.32106
5	28	183.607	1.37699
5	29	182.419	1.32338
5	30	188.931	1.32583
5	31	210.417	1.33983
5	32	197.991	1.29871
6	1	213.245	1.30928
6	2	197.657	1.38841
6	3	184.442	1.33064
6	4	190.259	1.38392
6	5	190.927	1.35689
6	6	184.145	1.33883
6	7	176.506	1.35098
6	8	186.662	1.34314
6	9	170.888	1.37027
6	10	173.97	1.38233
6	11	170.106	1.38682
6	12	174.36	1.34242
6	13	160.168	1.31717
6	14	167.05	1.4019
6	15	158.757	1.36176
6	16	165.439	1.38985
6	17	165.462	1.38513
6	18	165.412	1.33355
6	19	168.209	1.38227
6	20	164.914	1.30002
6	21	166.712	1.39806
6	22	158.882	1.35212
6	23	168.043	1.3934
6	24	178.977	1.31547
6	25	178.98	1.33995
6	26	180.203	1.36789
6	27	187.868	1.33189
6	28	188.471	1.37799
6	29	189.48	1.37967
6	30	187.067	1.38238
6	31	201.684	1.31894
6	32	212.204	1.3473
