Detector	Strip	Offset	Gain
1	1	246.451	1.31477
1	2	191.224	1.39382
1	3	180.449	1.23264
1	4	179.649	1.30395
1	5	184.815	1.31626
1	6	170.139	1.29248
1	7	163.38	1.32345
1	8	180.832	1.26766
1	9	152.64	1.29489
1	10	171.244	1.31172
1	11	158.5	1.30757
1	12	146.932	1.33214
1	13	169.187	1.28958
1	14	143.398	1.32134
1	15	162.662	1.30774
1	16	119.062	1.3002
1	17	157.066	1.34229
1	18	147.185	1.30606
1	19	148.917	1.28356
1	20	162.603	1.2298
1	21	143.22	1.33953
1	22	150.253	1.40049
1	23	146.328	1.25461
1	24	171.334	1.27031
1	25	150.458	1.35
1	26	0	1
1	27	170.11	1.2904
1	28	177.385	1.31342
1	29	159.302	1.32158
1	30	169.502	1.2574
1	31	154.071	1.28501
1	32	228.028	1.29524
2	1	215.801	1.23977
2	2	142.127	1.31773
2	3	226.688	1.29927
2	4	213.524	1.30894
2	5	207.762	1.36191
2	6	210.373	1.29522
2	7	228.352	1.26173
2	8	212.077	1.27222
2	9	182.786	1.3246
2	10	166.839	1.35213
2	11	198.729	1.31569
2	12	169.237	1.30693
2	13	167.398	1.35597
2	14	202.299	1.28318
2	15	162.036	1.30172
2	16	144.718	1.29208
2	17	190.968	1.35464
2	18	165.413	1.23185
2	19	229.441	1.29335
2	20	161.988	1.40712
2	21	172.005	1.30628
2	22	167.477	1.28605
2	23	164.872	1.29746
2	24	114.921	1.50822
2	25	141.391	1.34136
2	26	177.96	1.36132
2	27	165.775	1.26432
2	28	187.064	1.28246
2	29	195.952	1.29193
2	30	204.466	1.30721
2	31	199.556	1.31322
2	32	185.63	1.33216
3	1	205.334	1.5886
3	2	214.722	1.57464
3	3	207.942	1.6682
3	4	204.715	1.61467
3	5	193.841	1.59553
3	6	188.206	1.54469
3	7	191.364	1.61876
3	8	212.71	1.60547
3	9	0	1
3	10	177.768	1.56053
3	11	187.464	1.65448
3	12	197.032	1.62058
3	13	211.845	1.59892
3	14	185.646	1.67132
3	15	206.359	1.59041
3	16	208.646	1.53024
3	17	228.08	1.55366
3	18	0	1
3	19	208.81	1.57159
3	20	213.155	1.57091
3	21	200.576	1.63213
3	22	247.089	1.5711
3	23	194.523	1.59679
3	24	200.046	1.51847
3	25	207.213	1.58596
3	26	215.267	1.60617
3	27	208.875	1.5367
3	28	217.242	1.56646
3	29	216.869	1.61192
3	30	212.678	1.52621
3	31	246.09	1.64481
3	32	215.768	1.63162
4	1	246.914	1.34518
4	2	194.725	1.35015
4	3	213.582	1.30087
4	4	195.456	1.25856
4	5	198.717	1.30397
4	6	172.139	1.35075
4	7	181.982	1.2725
4	8	187.551	1.36356
4	9	210.769	1.29764
4	10	200.782	1.40417
4	11	213.753	1.30597
4	12	203.271	1.25586
4	13	191.343	1.34112
4	14	202.274	1.35308
4	15	185.406	1.29022
4	16	181.221	1.30034
4	17	182.133	1.31422
4	18	169.348	1.29797
4	19	188.477	1.30201
4	20	186.702	1.27933
4	21	191.733	1.28409
4	22	202.386	1.33862
4	23	178.498	1.28581
4	24	186.533	1.33336
4	25	181.842	1.27268
4	26	219.34	1.30693
4	27	202.335	1.38051
4	28	178.54	1.28267
4	29	203.86	1.33966
4	30	217.287	1.29706
4	31	205.146	1.27499
4	32	244.988	1.29778
5	1	264.163	1.25219
5	2	205.224	1.28558
5	3	199.471	1.29294
5	4	188.979	1.21899
5	5	173.384	1.36565
5	6	188.868	1.36174
5	7	175.889	1.20985
5	8	153.061	1.25417
5	9	157.458	1.35121
5	10	161.392	1.31835
5	11	160.676	1.29583
5	12	154.549	1.27483
5	13	153.637	1.31999
5	14	165.544	1.29763
5	15	143.435	1.33464
5	16	138.99	1.34674
5	17	161.459	1.29497
5	18	166.971	1.34742
5	19	165.417	1.26405
5	20	152.861	1.29986
5	21	148.562	1.34226
5	22	166.221	1.30376
5	23	167.023	1.32255
5	24	172.819	1.29345
5	25	199.063	1.28254
5	26	170.531	1.29337
5	27	184.909	1.35452
5	28	200.679	1.32862
5	29	189.899	1.43108
5	30	198.576	1.31707
5	31	187.693	1.31377
5	32	197.132	1.26432
6	1	217.644	1.33737
6	2	177.475	1.38063
6	3	175.944	1.34757
6	4	161.148	1.42857
6	5	165.965	1.39868
6	6	165.105	1.40325
6	7	159.124	1.39664
6	8	153.329	1.3979
6	9	157.437	1.40559
6	10	155.415	1.34081
6	11	151.019	1.41087
6	12	155.476	1.38615
6	13	149.02	1.34043
6	14	151.776	1.38694
6	15	144.628	1.40405
6	16	125.904	1.44395
6	17	151.257	1.36909
6	18	137.031	1.33479
6	19	153.611	1.39924
6	20	149.142	1.38904
6	21	164.078	1.3161
6	22	173.484	1.42409
6	23	162.003	1.39288
6	24	153.006	1.38546
6	25	162.715	1.35308
6	26	170.648	1.32373
6	27	158.516	1.38822
6	28	168.743	1.35873
6	29	170.011	1.33508
6	30	161.824	1.37715
6	31	178.171	1.40726
6	32	241.095	1.3401
